CollectionSurveyKey,CollectionUnitKey,ScbId,VeNr,CUParentStatusCode,CUStatusCode,IndustryCode,PopulationSize,SampleSize,Stratum,AnnualTurnoverTotal,AnnualTurnoverDomestic,AnnualInventories,Netto,IndHandTj,SampleOccasion,Bgrupp
3,3428826,,1544212,00,002,28220,173,28,280000001,118736.6476125470,3446.6476125478,0,1,,2023,28000
3,3428827,,1544345,00,002,28920,173,28,280000001,107301.5649072730,58361.5649072738,0,1,,2023,28000
3,3428828,,1545540,00,002,33120,416,15,330000002,18746.8205081207,17478.8205081207,0,1,,2023,33000
3,3428829,,1545664,00,002,31090,184,6,310000001,12085.4165990003,12085.4165990003,0,1,,2023,31000
3,3428830,,1545789,00,002,33150,1019,15,330000001,7838.8635774138,7838.8635774138,0,1,,2023,33000
3,3428831,,1547447,00,002,25999,889,29,255XX0001,20831.2031695866,12376.2031695866,0,1,,2023,255XX
3,3428832,,1548767,00,002,25620,618,68,255XX0002,24231.5246179240,24231.5246179240,0,1,,2023,255XX
3,3428833,,1550789,00,002,23610,60,7,230000001,64756.4656548509,64756.4656548509,0,1,,2023,23000
3,3428834,,1550862,00,002,08120,47,5,080000002,21561.8975230194,21561.8975230194,0,1,,2023,08000
3,3428835,,1551266,00,002,28140,173,28,280000001,132825.1282129610,64879.1282129619,0,1,,2023,28000
3,3428836,,1552199,00,002,25620,889,29,255XX0001,18804.9337529230,17797.9337529230,0,1,,2023,255XX
3,3428837,,1552249,00,002,33120,416,15,330000002,14129.7653565331,14009.7653565331,0,1,,2023,33000
3,3428838,,1552314,00,002,25999,889,29,255XX0001,8351.9149084863,8084.9149084863,0,1,,2023,255XX
3,3428839,,1553304,00,002,25610,889,29,255XX0001,18980.2068954098,18980.2068954098,0,1,,2023,255XX
3,3428840,,1553478,00,002,25620,618,68,255XX0002,30076.6420651967,27771.6420651967,0,1,,2023,255XX
3,3428841,,1553718,00,002,25110,64,16,251XX0003,131133.5251498700,106332.5251498700,0,1,,2023,251XX
3,3428842,,1555580,00,002,25290,150,10,251XX0001,29573.3705799442,29557.3705799442,0,1,,2023,251XX
3,3428843,,1556752,00,002,25620,889,29,255XX0001,22904.2542793803,22904.2542793803,0,1,,2023,255XX
3,3428844,,1557313,00,002,25610,618,68,255XX0002,28061.5742381084,27818.5742381084,0,1,,2023,255XX
3,3428845,,1558303,00,002,25620,889,29,255XX0001,13663.4503344170,13540.4503344170,0,1,,2023,255XX
3,3428846,,1558964,00,002,33200,1019,15,330000001,2590.5647406486,2474.5647406486,0,1,,2023,33000
3,3428847,,1560796,00,002,27120,64,9,271XX0001,55983.3776613313,55359.3776613313,0,1,,2023,271XX
3,3428848,,1561513,00,002,16231,48,12,162000003,195660.8403365690,195660.8403365690,0,1,,2023,16200
3,3428849,,1562230,00,002,25620,618,68,255XX0002,39244.5244031578,33398.5244031578,0,1,,2023,255XX
3,3428850,,1562792,00,002,22210,109,21,220000002,126900.1173358410,25037.1173358413,0,1,,2023,22000
3,3428851,,1562818,00,002,33120,181,17,330000003,30916.7838921655,29035.7838921655,0,1,,2023,33000
3,3428852,,1564533,00,002,31011,184,6,310000001,17569.5824012090,16332.5824012090,0,1,,2023,31000
3,3428853,,1565696,00,002,25999,889,29,255XX0001,11026.0969542375,11026.0969542375,0,1,,2023,255XX
3,3428854,,1566553,00,002,10710,203,21,100000001,29289.5737986247,29289.5737986247,0,1,,2023,10000
3,3428855,,1567064,00,002,33200,68,45,330000004,91237.4023524971,89459.4023524971,0,1,,2023,33000
3,3428856,,1568864,00,002,31012,46,7,310000003,59717.6422954896,18832.6422954896,0,1,,2023,31000
3,3428857,,1569680,00,002,16239,189,5,162000001,10614.1477851003,10614.1477851003,0,1,,2023,16200
3,3428858,,1570381,00,002,11050,19,9,110000001,47421.0437963078,47421.0437963078,0,1,,2023,11000
3,3428859,,1571082,00,002,25999,889,29,255XX0001,8677.8360337914,8677.8360337914,0,1,,2023,255XX
3,3428860,,1571496,00,002,25110,64,16,251XX0003,100941.8468858130,100941.8468858130,0,1,,2023,251XX
3,3428861,,1572023,00,002,22290,109,21,220000002,112555.3983020560,49450.3983020565,0,1,,2023,22000
3,3428862,,1572726,00,002,25620,889,29,255XX0001,19557.3591324458,11893.3591324458,0,1,,2023,255XX
3,3428863,,1572817,00,002,25620,618,68,255XX0002,67636.6380136185,58324.6380136185,0,1,,2023,255XX
3,3428864,,1573179,00,002,18122,127,5,180000002,10188.4554873096,10188.4554873096,0,1,,2023,18000
3,3428865,,1573344,00,002,25620,889,29,255XX0001,11105.0838070684,11105.0838070684,0,1,,2023,255XX
3,3428866,,1574144,00,002,33120,181,17,330000003,27567.2953853001,26700.2953853001,0,1,,2023,33000
3,3428867,,1574268,00,002,20420,29,5,204000001,13920.5837736627,7956.5837736627,0,1,,2023,20400
3,3428868,,1574276,00,002,25620,889,29,255XX0001,12675.8538777005,12675.8538777005,0,1,,2023,255XX
3,3428869,,1575323,00,002,25610,889,29,255XX0001,8848.3161989887,8848.3161989887,0,1,,2023,255XX
3,3428870,,1576180,00,002,10910,203,21,100000001,41348.9133975080,41348.9133975080,0,1,,2023,10000
3,3428871,,1577501,00,002,22290,139,12,220000001,53061.1485962951,37991.1485962951,0,1,,2023,22000
3,3428872,,1578848,00,002,31011,93,7,310000002,51859.2278300936,49787.2278300936,0,1,,2023,31000
3,3428873,,1580083,00,002,27900,64,9,271XX0001,66218.9159282696,55892.9159282696,0,1,,2023,271XX
3,3428874,,1580471,00,002,22190,109,21,220000002,57847.2734754300,35349.2734754300,0,1,,2023,22000
3,3428875,,1581115,00,002,13300,35,5,131XX0001,3148.9310536869,3148.9310536869,0,1,,2023,131XX
3,3428876,,1581206,00,002,25999,889,29,255XX0001,18718.6519136488,18718.6519136488,0,1,,2023,255XX
3,3428877,,1582337,00,002,27120,64,9,271XX0001,88628.7757139144,79531.7757139144,0,1,,2023,271XX
3,3428878,,1583970,00,002,25620,889,29,255XX0001,14861.9424129617,14861.9424129617,0,1,,2023,255XX
3,3428879,,1584077,00,002,32501,21,5,325000003,67331.8657065734,702.8657065734,0,1,,2023,32500
3,3428880,,1585546,00,002,25620,889,29,255XX0001,20921.1501191993,20921.1501191993,0,1,,2023,255XX
3,3428881,,1585637,00,002,25620,618,68,255XX0002,74692.7268433093,74692.7268433093,0,1,,2023,255XX
3,3428882,,1585827,00,002,18122,127,5,180000002,10067.7704384560,10067.7704384560,0,1,,2023,18000
3,3428883,,1586700,00,002,28920,164,122,280000002,479194.6665293490,391264.6665293490,0,1,,2023,28000
3,3428884,,1586734,00,002,10890,203,21,100000001,53840.8405718350,1343.8405718349,0,1,,2023,10000
